Unnamed: 0,Airlines,Sources,Destinations,Duration,Total Stops,Date,Departure Time,Arrival Time,Prices
112,Air India,BOM,DEL,3h 40m,1 stop,2024-06-22,05:15,08:55,"₹ 17,391"
113,Vistara,BOM,DEL,8h 45m,2 stops,2024-06-22,15:05,23:50,"₹ 18,345"
114,Vistara,BOM,DEL,5h 40m,1 stop,2024-06-22,07:00,12:40,"₹ 18,435"
115,Vistara,BOM,DEL,8h 10m,1 stop,2024-06-22,06:00,14:10,"₹ 18,488"
116,Vistara,BOM,DEL,4h 15m,1 stop,2024-06-22,12:10,16:25,"₹ 18,849"
117,SpiceJet,BOM,DEL,7h 40m,1 stop,2024-06-22,07:45,15:25,"₹ 19,038"
118,Air India,BOM,DEL,7h 50m,1 stop,2024-06-22,05:15,13:05,"₹ 19,888"
119,"Air India Express, Air India Express",BOM,DEL,8h 00m,1 stop,2024-06-22,12:15,20:15,"₹ 20,554"
120,Air India Express,BOM,DEL,6h 25m,1 stop,2024-06-22,05:50,12:15,"₹ 20,977"
121,Vistara,BOM,DEL,6h 05m,1 stop,2024-06-22,06:50,12:55,"₹ 21,446"
122,Air India Express,BOM,DEL,8h 25m,1 stop,2024-06-22,12:25,20:50,"₹ 21,974"
123,Vistara,BOM,DEL,4h 25m,1 stop,2024-06-22,07:15,11:40,"₹ 23,189"
124,Vistara,BOM,DEL,6h 30m,1 stop,2024-06-22,12:00,18:30,"₹ 23,439"
125,Vistara,BOM,DEL,7h 10m,1 stop,2024-06-22,07:00,14:10,"₹ 26,468"
126,SpiceJet,BOM,DEL,6h 10m,1 stop,2024-06-22,14:45,20:55,"₹ 27,915"
127,Air India,BOM,DEL,6h 55m,1 stop,2024-06-22,10:55,17:50,"₹ 28,323"
128,Vistara,BOM,DEL,7h 30m,1 stop,2024-06-22,13:50,21:20,"₹ 28,473"
129,SpiceJet,BOM,DEL,6h 20m,1 stop,2024-06-22,12:25,18:45,"₹ 29,306"
130,SpiceJet,BOM,DEL,5h 20m,1 stop,2024-06-22,12:25,17:45,"₹ 30,330"
131,Vistara,BOM,DEL,5h 40m,1 stop,2024-06-22,11:25,17:05,"₹ 31,093"
